FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Halladale,Australia/New Zealand,Australia,VIC/P37,,Origin,Discovery,Condensate & Gas,,30,
Halyard,Australia/New Zealand,Australia,WA-13-L,Halyard,Apache,Production,Condensate & Gas,2 Jun 2011,112,11/09: Apache say they are aiming for first gas from Halyward in the second quarter of 2011.
Harriet,Australia/New Zealand,Australia,,Harriet,Eni,Production,,18 Jan 1986,23,05/05: harriet a11 well (Drilled from alpha p/form) To be completed as producer.
Harrison,Australia/New Zealand,Australia,WA-43-L,,BHP Billiton,Sub-Commercial,Oil,,193,"10/13: Thin oil column, considered to be marginal."
Haycock,Australia/New Zealand,Australia,WA-28-P,,Woodside,Discovery,,,85,
Hector,Australia/New Zealand,Australia,TL/6,,HARRIET JV,Discovery,,,34,10/06: hector-1 exp well to be plugged -testing as water bearing 1st of 3 deviated wells to be drilled from sinle surface location.
Henry,Australia/New Zealand,Australia,VIC/P44,Henry,Santos,Production,Gas,26 Feb 2010,886,
Highgrove,Australia/New Zealand,Australia,TP/8,,Apache,Discovery,Gas,,24,
Highlander,Australia/New Zealand,Australia,VIC/P67,,,Prospect,Condensate & Gas,,95,May be developed together with main La Bella field
Hijinx,Australia/New Zealand,Australia,WA-390-P,,Hess,Discovery,Gas,,"1,113",
Hingkip,Australia/New Zealand,Australia,ZOCA 91-12,Hingkip,BHP Billiton,Possible,,1 Dec 2017,70,Hingkip-1 disc well reclassified as 'volatile oil' disc in 2q98. Poss tie-in to phase i dev of bayu-undan. 08/04: bhp no longer op.
Hippo,Australia/New Zealand,Australia,VIC/P57,,Hibiscus Petroleum,Discovery,,,40,"10/10: Possible tieback to Barracouta, to be developed in conjunction with West Seahorse fields."
Hurricane UK,Australia/New Zealand,Australia,WA-208-P,,Santos,Discovery,Gas,,56,
