FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Water Injector,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Gas Injector,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Water Injector,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Oil Producer,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Oil Producer,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Oil Producer,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Oil Producer,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Water Injector,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Water Injector,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Water Injector,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Gas Injector,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Oil Producer,Satellite,2006,FMC,600,
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2016,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2017,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2017,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2017,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2017,,"1,200",
Australia/New Zealand,Australia,WA-390-P,Equus LNG,#1,Equus LNG,Hess,Possible,Gas Producer,,2017,,"1,200",
Australia/New Zealand,Australia,NT/P48,Evans Shoal,#2,Evans Shoal,MEO Australia,Possible,,Cluster,2016,,108,
Australia/New Zealand,Australia,NT/P48,Evans Shoal,#2,Evans Shoal,MEO Australia,Possible,,Cluster,2016,,108,
Australia/New Zealand,Australia,NT/P48,Evans Shoal,#2,Evans Shoal,MEO Australia,Possible,,Cluster,2016,,108,
Australia/New Zealand,Australia,NT/P48,Evans Shoal,#1,Evans Shoal,MEO Australia,Possible,,,2016,,100,
Australia/New Zealand,Australia,NT/P48,Evans Shoal,#2,Evans Shoal,MEO Australia,Possible,,Cluster,2016,,108,
Australia/New Zealand,Australia,NT/P48,Evans Shoal,#1,Evans Shoal,MEO Australia,Possible,,,2016,,100,
